"Time (CET/CEST)","Situation - SCA|NL","Open loop control area error [MW] - SCA|NL"
"01.04.2021 05:35 - 01.04.2021 05:36","Surplus","21.33"
"01.04.2021 05:36 - 01.04.2021 05:37","Surplus","87.68"
"01.04.2021 05:37 - 01.04.2021 05:38","Surplus","9.50"
"01.04.2021 05:38 - 01.04.2021 05:39","Surplus","1.22"
"01.04.2021 05:39 - 01.04.2021 05:40","Surplus","1.69"
"01.04.2021 05:40 - 01.04.2021 05:41","Deficit","2.91"
"01.04.2021 05:41 - 01.04.2021 05:42","Deficit","2.67"
"01.04.2021 05:42 - 01.04.2021 05:43","Deficit","3.48"
"01.04.2021 05:43 - 01.04.2021 05:44","Surplus","5.61"
"01.04.2021 05:44 - 01.04.2021 05:45","Deficit","0.78"
"01.04.2021 05:45 - 01.04.2021 05:46","Deficit","9.01"
"01.04.2021 05:46 - 01.04.2021 05:47","Surplus","6.92"
"01.04.2021 05:47 - 01.04.2021 05:48","Surplus","2.21"
"01.04.2021 05:48 - 01.04.2021 05:49","Surplus","2.90"
"01.04.2021 05:49 - 01.04.2021 05:50","Surplus","63.83"
"01.04.2021 05:50 - 01.04.2021 05:51","Surplus","146.63"
"01.04.2021 05:51 - 01.04.2021 05:52","Surplus","108.50"
"01.04.2021 05:52 - 01.04.2021 05:53","Surplus","114.03"
"01.04.2021 05:53 - 01.04.2021 05:54","Surplus","132.98"
"01.04.2021 05:54 - 01.04.2021 05:55","Surplus","122.06"
"01.04.2021 05:55 - 01.04.2021 05:56","Surplus","56.41"
"01.04.2021 05:56 - 01.04.2021 05:57","Surplus","88.05"
"01.04.2021 05:57 - 01.04.2021 05:58","Surplus","82.15"
"01.04.2021 05:58 - 01.04.2021 05:59","Surplus","156.59"
"01.04.2021 05:59 - 01.04.2021 06:00","Surplus","158.18"
"01.04.2021 06:00 - 01.04.2021 06:01","Surplus","89.06"
"01.04.2021 06:01 - 01.04.2021 06:02","Surplus","162.14"
"01.04.2021 06:02 - 01.04.2021 06:03","Surplus","174.24"
"01.04.2021 06:03 - 01.04.2021 06:04","Surplus","97.57"
"01.04.2021 06:04 - 01.04.2021 06:05","Deficit","33.64"
"01.04.2021 06:05 - 01.04.2021 06:06","Deficit","70.57"
"01.04.2021 06:06 - 01.04.2021 06:07","Deficit","73.68"
"01.04.2021 06:07 - 01.04.2021 06:08","Deficit","65.35"
"01.04.2021 06:08 - 01.04.2021 06:09","Deficit","85.77"
"01.04.2021 06:09 - 01.04.2021 06:10","Deficit","108.87"
"01.04.2021 06:10 - 01.04.2021 06:11","Deficit","130.02"
"01.04.2021 06:11 - 01.04.2021 06:12","Deficit","116.85"
"01.04.2021 06:12 - 01.04.2021 06:13","Deficit","108.26"
"01.04.2021 06:13 - 01.04.2021 06:14","Deficit","76.15"
"01.04.2021 06:14 - 01.04.2021 06:15","Deficit","61.02"
"01.04.2021 06:15 - 01.04.2021 06:16","Deficit","28.35"
"01.04.2021 06:16 - 01.04.2021 06:17","Surplus","10.26"
"01.04.2021 06:17 - 01.04.2021 06:18","Surplus","27.46"
"01.04.2021 06:18 - 01.04.2021 06:19","Surplus","20.37"
"01.04.2021 06:19 - 01.04.2021 06:20","Deficit","24.85"
"01.04.2021 06:20 - 01.04.2021 06:21","Deficit","19.76"
"01.04.2021 06:21 - 01.04.2021 06:22","Deficit","1.31"
"01.04.2021 06:22 - 01.04.2021 06:23","Deficit","5.57"
"01.04.2021 06:23 - 01.04.2021 06:24","Surplus","8.80"
"01.04.2021 06:24 - 01.04.2021 06:25","Deficit","3.25"
"01.04.2021 06:25 - 01.04.2021 06:26","Deficit","2.78"
"01.04.2021 06:26 - 01.04.2021 06:27","Surplus","6.98"
"01.04.2021 06:27 - 01.04.2021 06:28","Deficit","1.81"
"01.04.2021 06:28 - 01.04.2021 06:29","Surplus","0.14"
"01.04.2021 06:29 - 01.04.2021 06:30","Surplus","3.95"
"01.04.2021 06:30 - 01.04.2021 06:31","Surplus","4.04"
"01.04.2021 06:31 - 01.04.2021 06:32","Deficit","8.32"
"01.04.2021 06:32 - 01.04.2021 06:33","Surplus","9.47"
"01.04.2021 06:33 - 01.04.2021 06:34","Surplus","12.20"
"01.04.2021 06:34 - 01.04.2021 06:35","Surplus","2.52"
