"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Generation / - Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Price for consumption [Currency/MWh] - SCA|DE(TenneT GER)","Currency","Status","Total Imbalance [MWh] - SCA|DE(TenneT GER)","Difference","Situation","Status"
"01.01.2021 23:00 - 01.01.2021 23:15","n/e","n/e","n/e","n/e","n/e","95","0","Surplus","Final"
"01.01.2021 23:15 - 01.01.2021 23:30","n/e","n/e","n/e","n/e","n/e","116","5","Surplus","Final"
"01.01.2021 23:30 - 01.01.2021 23:45","n/e","n/e","n/e","n/e","n/e","70","5","Surplus","Final"
"01.01.2021 23:45 - 02.01.2021 00:00","n/e","n/e","n/e","n/e","n/e","79","5","Surplus","Final"
"02.01.2021 00:00 - 02.01.2021 00:15","n/e","n/e","n/e","n/e","n/e","15","2","Surplus","Final"
"02.01.2021 00:15 - 02.01.2021 00:30","n/e","n/e","n/e","n/e","n/e","19","6","Deficit","Final"
"02.01.2021 00:30 - 02.01.2021 00:45","n/e","n/e","n/e","n/e","n/e","10","3","Surplus","Final"
"02.01.2021 00:45 - 02.01.2021 01:00","n/e","n/e","n/e","n/e","n/e","28","6","Surplus","Final"
"02.01.2021 01:00 - 02.01.2021 01:15","n/e","n/e","n/e","n/e","n/e","31","-1","Surplus","Final"
"02.01.2021 01:15 - 02.01.2021 01:30","n/e","n/e","n/e","n/e","n/e","44","4","Surplus","Final"
"02.01.2021 01:30 - 02.01.2021 01:45","n/e","n/e","n/e","n/e","n/e","58","7","Surplus","Final"
"02.01.2021 01:45 - 02.01.2021 02:00","n/e","n/e","n/e","n/e","n/e","57","5","Surplus","Final"
"02.01.2021 02:00 - 02.01.2021 02:15","n/e","n/e","n/e","n/e","n/e","77","3","Surplus","Final"
"02.01.2021 02:15 - 02.01.2021 02:30","n/e","n/e","n/e","n/e","n/e","114","4","Surplus","Final"
"02.01.2021 02:30 - 02.01.2021 02:45","n/e","n/e","n/e","n/e","n/e","107","2","Surplus","Final"
"02.01.2021 02:45 - 02.01.2021 03:00","n/e","n/e","n/e","n/e","n/e","95","4","Surplus","Final"
"02.01.2021 03:00 - 02.01.2021 03:15","n/e","n/e","n/e","n/e","n/e","41","0","Surplus","Final"
"02.01.2021 03:15 - 02.01.2021 03:30","n/e","n/e","n/e","n/e","n/e","18","5","Surplus","Final"
