"ISP (UTC)","Reserve Type","Source","Type of Product","Price Type","Load Up Price [EUR/MWh] - SCA|NL","Load Down Price [EUR/MWh] - SCA|NL","Generation Up Price [EUR/MWh] - SCA|NL","Generation Down Price [EUR/MWh] - SCA|NL","Not specified Up Price [EUR/MWh] - SCA|NL","Not specified Down Price [EUR/MWh] - SCA|NL"
"02.01.2021 05:00 - 02.01.2021 05:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","39.60"
"02.01.2021 05:15 - 02.01.2021 05:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-0.95"
"02.01.2021 05:30 - 02.01.2021 05:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","33.91"
"02.01.2021 05:45 - 02.01.2021 06:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.25"
"02.01.2021 06:00 - 02.01.2021 06:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","37.25"
"02.01.2021 06:15 - 02.01.2021 06:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","19.25"
"02.01.2021 06:30 - 02.01.2021 06:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","29.53"
"02.01.2021 06:45 - 02.01.2021 07:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","37.10"
"02.01.2021 07:00 - 02.01.2021 07:15","aFRR","Not Specified","N/A","AVERAGE","","","","","42.67","0.00"
"02.01.2021 07:15 - 02.01.2021 07:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 07:30 - 02.01.2021 07:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 07:45 - 02.01.2021 08:00","aFRR","Not Specified","N/A","AVERAGE","","","","","53.25","0.00"
"02.01.2021 08:00 - 02.01.2021 08:15","aFRR","Not Specified","N/A","AVERAGE","","","","","133.17","0.00"
"02.01.2021 08:15 - 02.01.2021 08:30","aFRR","Not Specified","N/A","AVERAGE","","","","","52.04","0.00"
"02.01.2021 08:30 - 02.01.2021 08:45","aFRR","Not Specified","N/A","AVERAGE","","","","","49.25","0.00"
"02.01.2021 08:45 - 02.01.2021 09:00","aFRR","Not Specified","N/A","AVERAGE","","","","","49.25","0.00"
"02.01.2021 09:00 - 02.01.2021 09:15","aFRR","Not Specified","N/A","AVERAGE","","","","","46.52","0.00"
"02.01.2021 09:15 - 02.01.2021 09:30","aFRR","Not Specified","N/A","AVERAGE","","","","","46.52","0.00"
"02.01.2021 09:30 - 02.01.2021 09:45","aFRR","Not Specified","N/A","AVERAGE","","","","","53.25","0.00"
"02.01.2021 09:45 - 02.01.2021 10:00","aFRR","Not Specified","N/A","AVERAGE","","","","","46.52","0.00"
"02.01.2021 10:00 - 02.01.2021 10:15","aFRR","Not Specified","N/A","AVERAGE","","","","","72.15","0.00"
"02.01.2021 10:15 - 02.01.2021 10:30","aFRR","Not Specified","N/A","AVERAGE","","","","","85.15","0.00"
"02.01.2021 10:30 - 02.01.2021 10:45","aFRR","Not Specified","N/A","AVERAGE","","","","","50.30","0.00"
"02.01.2021 10:45 - 02.01.2021 11:00","aFRR","Not Specified","N/A","AVERAGE","","","","","46.25","0.00"
"02.01.2021 11:00 - 02.01.2021 11:15","aFRR","Not Specified","N/A","AVERAGE","","","","","277.99","0.00"
"02.01.2021 11:15 - 02.01.2021 11:30","aFRR","Not Specified","N/A","AVERAGE","","","","","49.56","0.00"
"02.01.2021 11:30 - 02.01.2021 11:45","aFRR","Not Specified","N/A","AVERAGE","","","","","405.95","0.00"
"02.01.2021 11:45 - 02.01.2021 12:00","aFRR","Not Specified","N/A","AVERAGE","","","","","112.78","0.00"
"02.01.2021 12:00 - 02.01.2021 12:15","aFRR","Not Specified","N/A","AVERAGE","","","","","44.27","37.27"
"02.01.2021 12:15 - 02.01.2021 12:30","aFRR","Not Specified","N/A","AVERAGE","","","","","49.25","0.00"
"02.01.2021 12:30 - 02.01.2021 12:45","aFRR","Not Specified","N/A","AVERAGE","","","","","55.53","0.00"
"02.01.2021 12:45 - 02.01.2021 13:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 13:00 - 02.01.2021 13:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 13:15 - 02.01.2021 13:30","aFRR","Not Specified","N/A","AVERAGE","","","","","44.91","0.00"
"02.01.2021 13:30 - 02.01.2021 13:45","aFRR","Not Specified","N/A","AVERAGE","","","","","59.25","0.00"
"02.01.2021 13:45 - 02.01.2021 14:00","aFRR","Not Specified","N/A","AVERAGE","","","","","47.80","0.00"
"02.01.2021 14:00 - 02.01.2021 14:15","aFRR","Not Specified","N/A","AVERAGE","","","","","49.25","0.00"
"02.01.2021 14:15 - 02.01.2021 14:30","aFRR","Not Specified","N/A","AVERAGE","","","","","47.90","0.00"
"02.01.2021 14:30 - 02.01.2021 14:45","aFRR","Not Specified","N/A","AVERAGE","","","","","66.97","0.00"
"02.01.2021 14:45 - 02.01.2021 15:00","aFRR","Not Specified","N/A","AVERAGE","","","","","118.45","0.00"
"02.01.2021 15:00 - 02.01.2021 15:15","aFRR","Not Specified","N/A","AVERAGE","","","","","47.80","0.00"
"02.01.2021 15:15 - 02.01.2021 15:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 15:30 - 02.01.2021 15:45","aFRR","Not Specified","N/A","AVERAGE","","","","","48.49","0.00"
"02.01.2021 15:45 - 02.01.2021 16:00","aFRR","Not Specified","N/A","AVERAGE","","","","","92.99","0.00"
"02.01.2021 16:00 - 02.01.2021 16:15","aFRR","Not Specified","N/A","AVERAGE","","","","","127.00","34.77"
"02.01.2021 16:15 - 02.01.2021 16:30","aFRR","Not Specified","N/A","AVERAGE","","","","","65.00","0.00"
"02.01.2021 16:30 - 02.01.2021 16:45","aFRR","Not Specified","N/A","AVERAGE","","","","","82.00","0.00"
"02.01.2021 16:45 - 02.01.2021 17:00","aFRR","Not Specified","N/A","AVERAGE","","","","","43.64","0.00"
"02.01.2021 17:00 - 02.01.2021 17:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 17:15 - 02.01.2021 17:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 17:30 - 02.01.2021 17:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 17:45 - 02.01.2021 18:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 18:00 - 02.01.2021 18:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 18:15 - 02.01.2021 18:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","39.99"
"02.01.2021 18:30 - 02.01.2021 18:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","38.31"
"02.01.2021 18:45 - 02.01.2021 19:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","39.25"
"02.01.2021 19:00 - 02.01.2021 19:15","aFRR","Not Specified","N/A","AVERAGE","","","","","68.35","0.00"
"02.01.2021 19:15 - 02.01.2021 19:30","aFRR","Not Specified","N/A","AVERAGE","","","","","46.05","0.00"
"02.01.2021 19:30 - 02.01.2021 19:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","36.81"
"02.01.2021 19:45 - 02.01.2021 20:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","32.09"
"02.01.2021 20:00 - 02.01.2021 20:15","aFRR","Not Specified","N/A","AVERAGE","","","","","45.28","37.49"
"02.01.2021 20:15 - 02.01.2021 20:30","aFRR","Not Specified","N/A","AVERAGE","","","","","43.05","0.00"
"02.01.2021 20:30 - 02.01.2021 20:45","aFRR","Not Specified","N/A","AVERAGE","","","","","43.05","0.00"
"02.01.2021 20:45 - 02.01.2021 21:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","41.03"
"02.01.2021 21:00 - 02.01.2021 21:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","37.25"
"02.01.2021 21:15 - 02.01.2021 21:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","39.99"
"02.01.2021 21:30 - 02.01.2021 21:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","31.25"
"02.01.2021 21:45 - 02.01.2021 22:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","37.90"
"02.01.2021 22:00 - 02.01.2021 22:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","29.59"
"02.01.2021 22:15 - 02.01.2021 22:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","36.03"
"02.01.2021 22:30 - 02.01.2021 22:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","37.09"
"02.01.2021 22:45 - 02.01.2021 23:00","aFRR","Not Specified","N/A","AVERAGE","","","","","45.82","39.52"
"02.01.2021 23:00 - 02.01.2021 23:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","19.25"
"02.01.2021 23:15 - 02.01.2021 23:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 23:30 - 02.01.2021 23:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 23:45 - 03.01.2021 00:00","aFRR","Not Specified","N/A","AVERAGE","","","","","50.17","0.00"
"03.01.2021 00:00 - 03.01.2021 00:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","22.47"
"03.01.2021 00:15 - 03.01.2021 00:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","31.25"
"03.01.2021 00:30 - 03.01.2021 00:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","3.00"
"03.01.2021 00:45 - 03.01.2021 01:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","18.00"
"03.01.2021 01:00 - 03.01.2021 01:15","aFRR","Not Specified","N/A","AVERAGE","","","","","43.42","29.67"
"03.01.2021 01:15 - 03.01.2021 01:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"03.01.2021 01:30 - 03.01.2021 01:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.67"
"03.01.2021 01:45 - 03.01.2021 02:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","29.67"
"03.01.2021 02:00 - 03.01.2021 02:15","aFRR","Not Specified","N/A","AVERAGE","","","","","137.30","0.00"
"03.01.2021 02:15 - 03.01.2021 02:30","aFRR","Not Specified","N/A","AVERAGE","","","","","42.67","22.67"
"03.01.2021 02:30 - 03.01.2021 02:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","11.89"
"03.01.2021 02:45 - 03.01.2021 03:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","3.40"
"03.01.2021 03:00 - 03.01.2021 03:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","37.47"
"03.01.2021 03:15 - 03.01.2021 03:30","aFRR","Not Specified","N/A","AVERAGE","","","","","47.17","0.00"
"03.01.2021 03:30 - 03.01.2021 03:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","29.97"
"03.01.2021 03:45 - 03.01.2021 04:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","31.25"
"03.01.2021 04:00 - 03.01.2021 04:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.25"
"03.01.2021 04:15 - 03.01.2021 04:30","aFRR","Not Specified","N/A","AVERAGE","","","","","43.42","0.00"
"03.01.2021 04:30 - 03.01.2021 04:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","26.25"
"03.01.2021 04:45 - 03.01.2021 05:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","29.97"
"03.01.2021 05:00 - 03.01.2021 05:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","37.25"
"03.01.2021 05:15 - 03.01.2021 05:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","44.37"
"03.01.2021 05:30 - 03.01.2021 05:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","44.38"
"03.01.2021 05:45 - 03.01.2021 06:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"03.01.2021 06:00 - 03.01.2021 06:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","25.13"
"03.01.2021 06:15 - 03.01.2021 06:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","25.13"
"03.01.2021 06:30 - 03.01.2021 06:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","18.79"
"03.01.2021 06:45 - 03.01.2021 07:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","33.03"
"03.01.2021 07:00 - 03.01.2021 07:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-10.58"
